64,84,65,72,62,80,64,72,62,74,64,74,62,85,65,75,62,86,69,79,64,88,64,75,62,88,70,73,65,81,65,82,64,85,65,78,64,88,65,78,65,85,66,85,64,85,66,79,64,85,66,81,64,85,68,79,64,85,68,80,63,85,65,74,64,44,36,60,72,49,35,41,61,47,39,60,71,55,49,64,89,62,57,64,88,62,56,65,84,56,49,62,78,56,42,60,75,56,46,61,74,56,51,62,82,56,40,60,72,91,88,88,65,88,88,90,88,90,75,81,64,85,65,66,60,70,61,64,62,73,62,70,62,81,64,73,62,82,65,72,64,83,64,73,64,81,70,77,63,85,68,78,66,86,76,85,70,88,71,87,70,85,71,79,64,85,64,72,62,73,64,70,62,81,64,72,62,79,64,70,64,82,64,70,62,79,65,72,62,75,65,73,63,81,65,67,63,79,65,71,62,71,63,65,61,75,63,66,61,71,62,65,61,66,61,65,61,65,61,65,62,67,61,65,60,68,62,63,57,66,61,63,60,65,61,63,60,71,61,63,60,65,61,63,60,65,61,63,61,69,62,63,61,67,62,65
64,87,75,81,64,84,69,81,63,84,69,79,68,87,72,87,69,87,73,85,70,87,72,87,72,87,77,84,69,87,73,87,70,87,78,87,73,87,76,84,71,88,81,87,72,88,79,87,72,87,81,84,72,88,79,87,71,88,78,87,74,87,81,87,72,55,47,63,87,55,35,48,64,55,55,64,87,59,55,78,89,72,61,78,89,61,59,73,88,61,55,63,87,61,59,66,87,61,59,78,89,60,55,68,88,60,54,62,83,94,89,89,81,90,90,97,89,93,87,87,79,89,81,81,63,77,63,72,63,84,69,79,64,84,72,84,64,87,73,83,64,83,64,77,61,77,63,74,63,78,65,73,63,84,69,81,63,87,69,77,63,82,64,72,61,73,63,64,60,70,61,63,60,71,60,64,59,65,61,66,61,72,61,64,57,70,61,64,59,65,61,63,60,65,61,66,59,69,61,64,60,69,59,63,59,69,59,63,59,64,61,68,60,70,61,63,61,72,61,69,61,74,63,74,61,69,61,67,61,75,61,69,61,73,63,69,61,74,63,68,61,74,63,69,61,78,63,70,63,77,63,71,62,79,64,73
65,85,72,73,63,83,65,79,65,81,65,78,63,82,69,80,65,86,72,83,69,89,73,82,70,89,74,86,69,88,71,81,66,89,73,82,66,89,73,86,71,89,75,87,66,89,73,83,71,89,74,86,74,89,74,89,71,89,76,86,71,89,80,89,75,57,44,65,85,57,37,56,63,54,50,63,85,61,57,75,91,74,63,81,91,65,61,80,91,63,57,67,88,62,57,66,89,61,57,71,89,62,60,70,90,62,57,65,89,99,91,91,85,92,92,100,90,92,89,89,83,91,75,85,63,85,65,75,65,83,70,82,65,88,77,89,72,89,80,87,72,89,73,85,66,88,71,89,71,89,80,86,74,90,81,89,82,90,85,90,75,90,75,88,71,87,74,82,66,84,66,81,67,89,71,82,66,89,74,86,71,90,81,86,66,89,81,89,71,89,81,89,72,89,81,89,74,89,75,89,73,89,78,89,73,90,82,89,71,90,83,89,76,90,82,89,79,90,86,89,75,90,83,89,75,89,82,89,71,89,71,86,71,89,78,86,69,89,74,81,66,89,71,78,65,89,72,80,65,89,69,80,65,88,71,77
63,79,65,66,63,74,65,67,63,71,63,68,62,75,65,71,63,75,63,69,62,72,63,66,63,73,63,66,61,70,62,67,61,71,63,66,62,71,63,65,62,72,63,66,61,71,63,65,61,71,63,65,61,71,64,70,63,72,65,70,63,77,65,68,63,39,36,58,66,37,34,36,60,37,36,56,66,51,42,63,86,61,57,65,89,62,53,63,83,61,45,61,75,56,42,61,74,57,46,63,75,57,45,63,76,57,46,61,66,92,89,89,65,89,89,91,86,91,76,76,63,83,66,68,61,71,62,65,62,71,63,67,63,75,66,72,63,81,65,71,63,71,63,66,62,74,63,69,63,78,66,76,65,85,71,78,63,85,65,81,63,79,65,72,63,75,63,70,63,70,63,67,63,76,63,70,62,81,65,75,65,83,65,71,62,75,65,74,63,74,65,72,65,82,66,75,63,83,65,71,63,81,65,74,63,81,66,74,64,86,71,75,65,86,69,80,65,86,71,83,65,86,68,80,65,86,66,83,66,89,71,81,66,89,74,86,67,89,72,86,71,89,74,89,67,89,74,85,71,89,81,85,73,89,79,88
65,86,70,72,62,73,65,80,62,82,62,74,64,84,65,79,65,84,70,83,64,85,68,82,65,88,70,81,64,89,71,80,65,86,71,83,65,86,70,81,66,87,68,86,65,86,71,82,65,86,71,79,67,86,72,86,66,88,71,82,65,86,71,78,66,50,39,62,76,57,36,43,63,44,39,61,75,57,51,64,89,64,59,67,89,62,56,70,89,61,52,63,81,60,50,63,80,63,56,63,86,57,50,63,76,57,46,62,71,91,89,89,67,89,89,91,89,90,79,86,65,89,66,66,61,68,62,65,62,73,63,67,62,76,66,73,63,82,66,70,63,79,63,68,63,75,65,72,63,86,66,72,65,86,69,84,66,86,69,79,65,85,65,74,63,80,66,70,63,77,63,66,63,71,63,71,63,81,65,72,63,80,63,66,62,79,65,72,63,72,63,72,63,77,63,71,63,73,63,66,61,74,63,66,61,72,63,63,61,68,62,65,61,67,63,65,60,67,63,64,61,71,61,63,58,67,61,63,60,68,62,65,60,66,62,63,60,66,61,63,57,67,61,65,60,67,61,63,61,67,62,65,61,71,61,65
72,90,83,86,71,90,82,89,72,89,76,88,71,90,82,89,71,90,83,86,79,90,82,89,77,90,80,89,73,90,80,89,73,89,81,88,72,89,83,89,75,89,80,89,72,89,78,89,73,89,77,85,71,89,74,89,71,89,80,86,73,89,77,86,74,57,44,64,83,57,37,55,65,52,50,63,86,61,57,71,90,65,63,75,90,65,60,71,89,63,52,63,81,61,51,63,85,57,48,63,85,57,43,63,74,57,44,61,72,92,89,89,69,90,89,92,89,89,73,79,65,83,63,66,61,65,61,63,59,66,62,65,62,73,63,66,61,71,63,66,62,71,61,64,60,71,62,65,62,72,63,70,63,77,65,71,63,75,63,72,63,78,63,66,61,68,63,65,61,71,62,66,62,73,63,66,62,80,63,73,63,83,65,71,63,76,65,72,63,75,65,73,65,82,65,71,63,80,65,76,63,80,65,72,63,80,65,73,63,82,67,75,65,84,69,75,65,83,69,75,65,86,68,76,65,83,66,80,64,80,69,76,65,85,66,75,65,86,66,80,65,83,66,80,65,85,68,74,65,86,69,81,65,83,66,83
59,66,61,61,51,63,60,63,56,63,57,61,56,63,57,62,57,63,57,63,57,65,60,62,57,63,60,62,57,63,60,63,57,63,60,62,57,63,60,62,57,63,61,63,56,63,57,63,58,64,59,62,57,65,61,63,60,65,60,63,61,65,62,65,61,36,36,50,64,37,34,36,51,36,36,56,63,44,37,61,83,61,53,63,80,60,50,63,71,50,38,60,71,53,40,59,70,56,41,61,76,55,41,61,73,55,39,57,66,91,86,86,66,89,89,91,89,91,71,80,65,83,65,71,62,66,62,66,62,74,63,71,63,79,65,73,63,83,65,73,65,82,65,71,63,82,65,80,65,83,70,80,65,89,73,83,71,89,75,86,66,86,68,80,65,85,68,75,63,80,65,74,63,83,65,79,66,86,66,86,66,88,71,80,65,86,71,82,67,83,70,83,67,89,72,80,65,86,71,75,65,82,66,79,63,81,66,80,65,85,69,73,63,85,66,77,65,86,66,73,65,86,66,74,65,84,66,77,63,85,66,77,64,82,65,73,65,85,71,76,65,81,65,74,63,84,66,78,64,79,66,74,63,85,66,72
62,80,65,67,61,71,63,66,61,69,62,65,62,75,63,66,62,71,65,71,63,81,65,69,63,81,65,74,63,74,65,69,63,75,65,69,63,75,65,71,62,75,63,71,63,80,65,70,63,73,64,71,63,74,65,73,63,81,65,71,63,81,65,74,63,40,36,59,72,48,36,38,60,41,37,59,72,57,50,63,89,63,57,66,89,62,52,63,84,57,45,61,75,59,45,62,73,57,52,63,80,57,43,60,76,57,41,58,66,91,87,87,66,89,89,91,89,91,82,82,65,86,66,68,61,66,63,65,61,71,63,65,63,81,66,73,63,82,66,72,63,72,65,74,63,76,65,72,63,83,68,73,65,86,71,81,66,87,72,81,66,89,68,79,65,86,66,81,64,81,66,78,65,84,71,81,66,89,73,86,68,89,80,83,66,89,73,86,71,89,75,89,71,89,76,86,72,89,78,89,75,89,77,89,73,90,73,89,72,89,76,89,76,89,80,89,75,90,81,89,71,90,83,89,75,89,83,89,77,90,83,85,74,89,81,89,73,89,83,89,75,90,78,87,72,89,78,89,74,90,79,89,78,89,80,89
74,89,83,85,70,88,83,88,70,88,75,86,72,89,81,88,72,89,84,88,80,90,84,88,81,89,83,88,77,88,80,88,74,89,82,88,70,88,82,88,70,88,82,88,70,88,79,88,72,88,75,88,71,88,75,88,72,88,76,86,70,88,77,88,72,53,44,63,84,54,35,50,62,50,43,62,75,60,56,69,89,73,62,79,90,62,58,72,89,61,56,63,85,59,49,62,85,60,53,64,88,60,52,62,85,60,49,61,79,94,89,89,70,90,90,91,89,91,81,85,67,87,66,72,61,70,61,66,62,77,62,72,62,80,67,76,64,83,67,75,62,84,65,71,62,75,64,70,62,82,65,73,64,85,70,77,64,85,70,78,64,85,65,70,62,79,62,65,62,70,62,66,61,73,62,67,61,78,63,70,62,77,62,67,62,79,65,75,64,79,64,75,64,81,65,71,62,82,64,72,62,81,64,72,62,83,64,67,60,80,64,73,62,84,65,72,62,85,64,78,64,82,64,73,62,80,66,75,65,83,66,76,63,82,70,77,65,86,65,73,65,80,66,77,63,82,66,74,65,81,69,75,65,85,66,75
62,80,65,65,61,72,65,71,61,71,61,67,63,75,63,70,62,76,65,74,63,82,65,70,63,80,65,72,63,80,65,71,63,80,65,72,63,77,63,72,63,79,65,69,63,82,65,72,63,76,65,69,64,81,66,74,63,80,66,75,65,86,66,72,63,44,36,61,71,41,36,37,61,45,39,58,69,57,50,66,89,65,60,68,89,62,54,65,86,61,49,63,74,57,44,63,77,57,52,63,79,57,45,63,81,58,43,60,71,91,89,89,66,90,89,92,89,91,74,85,67,89,66,66,61,67,63,67,62,73,63,68,63,77,66,79,64,82,65,74,63,73,65,73,63,73,65,69,64,83,65,80,65,89,70,85,65,89,71,82,65,83,66,77,65,81,65,76,65,76,63,71,63,79,65,71,63,83,67,80,65,83,70,74,63,83,70,80,64,86,65,78,66,88,68,80,63,86,69,81,65,86,66,75,65,82,66,79,65,81,65,75,63,84,65,73,65,85,65,72,63,78,65,69,63,75,63,66,63,77,65,67,63,73,63,68,63,68,63,66,61,71,63,66,63,72,63,66,61,71,63,65,61,66,63,63
